Organization Name,Total Stability Rate (All Students),Total Student Mobility Rate (All students),Total Instances of Mobility (All students),Total Mobility Incidence Rate (All students),Students with Disabilities Pupil Count,Students with Disabilities Stable Student Count,Students with Disabilities Stability Rate,Students with Disabilities Mobile Student Count,Students with Disabilities Student Mobility Rate,Students with Disabilities Instances of Mobility,Students with Disabilities Mobility Incidence Rate,English Language Learners Pupil Count,English Language Learners Stable Student Count,English Language Learners Stability Rate,English Language Learners Mobile Student Count,English Language Learners Student Mobility Rate,English Language Learners Instances of Mobility,English Language Learners Mobility Incidence Rate,Economically Disadvantaged Pupil Count,Economically Disadvantaged Stable Student Count,Economically Disadvantaged Stability Rate,Economically Disadvantaged Mobile Student Count,Economically Disadvantaged Student Mobility Rate,Economically Disadvantaged Instances of Mobility,Economically Disadvantaged Mobility Incidence Rate,Migrant Pupil Count,Migrant Stable Student Count,Migrant Stability Rate,Migrant Mobile Student Count,Migrant Student Mobility Rate,Migrant Instances of Mobility,Migrant Mobility Incidence Rate,Title 1 Pupil Count,Title 1 Stable Student Count,Title 1 Pupil Stability Rate,Title 1 Mobile Student Count,Title 1 Student Mobility Rate,Title 1 Instances of Mobility,Title 1 Mobility Incidence Rate,Homeless Pupil Count,Homeless Stable Student Count,Homeless Stability Rate,Homeless Mobile Student Count,Homeless Student Mobility Rate,Homeless Instances of Mobility,Homeless Mobility Incidence Rate,Gifted & Talented Pupil Count,Gifted & Talented Stable Student Count,Gifted & Talented Stability Rate,Gifted & Talented Mobile Student Count,Gifted & Talented Student Mobility Rate,Gifted & Talented Instances of Mobility,Gifted & Talented Mobility Incidence Rate
MAPLETON 1,78.70%,21.30%,"2,518",23.70%,"1,125",952,84.60%,173,15.40%,188,16.70%,"2,727","2,380",87.30%,347,0.127,378,13.90%,"4,986","4,230",84.80%,756,0.15,861,17.30%,47,34,72.30%,13,27.70%,15,31.90%,"3,610","3,065",84.90%,545,15.10%,606,16.80%,186,148,79.60%,38,0.20,44,23.70%,282,268,95.00%,14,5.00%,15,5.30%
ADAMS 12 FIVE STAR SCHOOLS,86.00%,14.00%,"7,045",16.10%,"4,660","3,967",85.10%,693,14.90%,802,17.20%,"8,264","6,776",82.00%,"1,488",0.18,"1,711",20.70%,"15,763","13,017",82.60%,"2,746",0.17,"3,245",20.60%,133,71,53.40%,62,46.60%,73,54.90%,"7,270","5,775",79.40%,"1,495",20.60%,"1,733",23.80%,"1,868","1,368",73.20%,500,0.27,621,33.20%,"4,171","3,963",95.00%,208,5.00%,228,5.50%
ADAMS COUNTY 14,80.80%,19.20%,"1,941",23.40%,959,758,79.00%,201,21.00%,240,25.00%,"3,992","3,330",83.40%,662,0.166,799,20.00%,"6,850","5,570",81.30%,"1,280",0.19,"1,571",22.90%,50,35,70.00%,15,30.00%,16,32.00%,"5,880","4,868",82.80%,"1,012",17.20%,"1,188",20.20%,506,234,46.20%,272,0.54,362,71.50%,403,379,94.00%,24,6.00%,26,6.50%
SCHOOL DISTRICT 27J,86.10%,13.90%,"2,921",15.50%,"2,038","1,751",85.90%,287,14.10%,324,15.90%,"2,498","2,077",83.10%,421,0.169,485,19.40%,"7,252","6,192",85.40%,"1,060",0.15,"1,251",17.30%,102,66,64.70%,36,35.30%,39,38.20%,"1,462","1,242",85.00%,220,15.00%,253,17.30%,305,194,63.60%,111,0.36,149,48.90%,970,896,92.40%,74,7.60%,77,7.90%
BENNETT 29J,87.40%,12.60%,163,14.10%,153,133,86.90%,20,13.10%,22,14.40%,110,91,82.70%,19,0.173,22,20.00%,407,336,82.60%,71,0.17,80,19.70%,7,4,57.10%,3,42.90%,3,42.90%,497,425,85.50%,72,14.50%,81,16.30%,32,26,81.30%,6,0.19,7,21.90%,46,45,97.80%,1,2.20%,1,2.20%
STRASBURG 31J,86.70%,13.30%,155,15.30%,149,132,88.60%,17,11.40%,18,12.10%,58,44,75.90%,14,0.241,17,29.30%,279,235,84.20%,44,0.16,53,19.00%,9,1,11.10%,8,88.90%,11,122.20%,65,54,83.10%,11,16.90%,12,18.50%,22,14,63.60%,8,0.36,11,50.00%,34,33,97.10%,1,2.90%,1,2.90%
WESTMINSTER PUBLIC SCHOOLS,79.10%,20.90%,"2,761",24.70%,"1,396","1,152",82.50%,244,17.50%,284,20.30%,"4,505","3,612",80.20%,893,0.198,"1,070",23.80%,"7,915","6,365",80.40%,"1,550",0.20,"1,877",23.70%,156,120,76.90%,36,23.10%,39,25.00%,"6,283","5,069",80.70%,"1,214",19.30%,"1,412",22.50%,"1,049",598,57.00%,451,0.43,585,55.80%,402,390,97.00%,12,3.00%,15,3.70%
ALAMOSA RE-11J,85.70%,14.30%,457,17.30%,314,277,88.20%,37,11.80%,52,16.60%,357,306,85.70%,51,0.143,64,17.90%,"1,589","1,381",86.90%,208,0.13,259,16.30%,109,73,67.00%,36,33.00%,44,40.40%,"1,407","1,187",84.40%,220,15.60%,262,18.60%,83,53,63.90%,30,0.36,37,44.60%,50,44,88.00%,6,12.00%,6,12.00%
SANGRE DE CRISTO RE-22J,79.90%,20.10%,88,25.30%,24,20,83.30%,4,16.70%,4,16.70%,21,18,85.70%,3,0.143,3,14.30%,207,157,75.80%,50,0.24,66,31.90%,28,20,71.40%,8,28.60%,8,28.60%,348,278,79.90%,70,20.10%,88,25.30%,49,28,57.10%,21,0.43,35,71.40%,8,8,100.00%,0,0.00%,0,0.00%
ENGLEWOOD 1,78.30%,21.70%,830,25.60%,430,363,84.40%,67,15.60%,75,17.40%,408,342,83.80%,66,0.162,72,17.60%,"2,114","1,653",78.20%,461,0.22,550,26.00%,1,1,100.00%,0,0.00%,0,0.00%,"1,664","1,360",81.70%,304,18.30%,358,21.50%,311,173,55.60%,138,0.44,187,60.10%,214,194,90.70%,20,9.30%,21,9.80%
SHERIDAN 2,80.40%,19.60%,352,23.30%,206,173,84.00%,33,16.00%,36,17.50%,573,494,86.20%,79,0.138,91,15.90%,"1,293","1,077",83.30%,216,0.17,262,20.30%,21,16,76.20%,5,23.80%,5,23.80%,"1,373","1,145",83.40%,228,16.60%,269,19.60%,307,181,59.00%,126,0.41,160,52.10%,79,74,93.70%,5,6.30%,6,7.60%
CHERRY CREEK 5,86.50%,13.50%,"8,581",14.50%,"7,385","6,435",87.10%,950,12.90%,"1,016",13.80%,"6,622","5,394",81.50%,"1,228",0.185,"1,333",20.10%,"17,068","14,376",84.20%,"2,692",0.16,"3,002",17.60%,25,14,56.00%,11,44.00%,12,48.00%,"5,992","4,809",80.30%,"1,183",19.70%,"1,272",21.20%,64,37,57.80%,27,0.42,43,67.20%,"5,017","4,759",94.90%,258,5.10%,261,5.20%
LITTLETON 6,88.50%,11.50%,"2,020",12.50%,"1,669","1,434",85.90%,235,14.10%,263,15.80%,769,637,82.80%,132,0.172,145,18.90%,"2,956","2,659",90.00%,297,0.10,330,11.20%,1,1,100.00%,0,0.00%,0,0.00%,"1,368","1,134",82.90%,234,17.10%,253,18.50%,185,120,64.90%,65,0.35,72,38.90%,"2,066","1,983",96.00%,83,4.00%,91,4.40%
DEER TRAIL 26J,77.90%,22.10%,52,24.40%,37,27,73.00%,10,27.00%,11,29.70%,34,28,82.40%,6,0.176,6,17.60%,113,87,77.00%,26,0.23,29,25.70%,1,1,100.00%,0,0.00%,0,0.00%,31,28,90.30%,3,9.70%,3,9.70%,2,1,50.00%,1,0.50,1,50.00%,1,1,100.00%,0,0.00%,0,0.00%
ADAMS-ARAPAHOE 28J,79.90%,20.10%,"11,022",23.50%,"5,562","4,615",83.00%,947,17.00%,"1,084",19.50%,"19,156","15,472",80.80%,"3,684",0.192,"4,348",22.70%,"30,816","25,180",81.70%,"5,636",0.18,"6,794",22.00%,348,205,58.90%,143,41.10%,156,44.80%,"15,066","11,905",79.00%,"3,161",21.00%,"3,732",24.80%,"1,716",864,50.30%,852,0.50,"1,126",65.60%,"1,993","1,841",92.40%,152,7.60%,168,8.40%
BYERS 32J,77.10%,22.90%,874,24.10%,288,238,82.60%,50,17.40%,51,17.70%,795,680,85.50%,115,0.145,124,15.60%,"1,277","1,077",84.30%,200,0.16,216,16.90%,45,35,77.80%,10,22.20%,14,31.10%,562,488,86.80%,74,13.20%,75,13.30%,80,60,75.00%,20,0.25,22,27.50%,37,35,94.60%,2,5.40%,2,5.40%
ARCHULETA COUNTY 50 JT,73.80%,26.20%,561,32.20%,160,124,77.50%,36,22.50%,42,26.30%,143,111,77.60%,32,0.224,42,29.40%,873,645,73.90%,228,0.26,296,33.90%,1,1,100.00%,0,0.00%,0,0.00%,"1,267",919,72.50%,348,27.50%,428,33.80%,7,2,28.60%,5,0.71,5,71.40%,66,64,97.00%,2,3.00%,2,3.00%
WALSH RE-1,90.00%,10.00%,16,10.70%,14,10,71.40%,4,28.60%,5,35.70%,4,4,100.00%,0,0,0,0.00%,85,73,85.90%,12,0.14,13,15.30%,3,3,100.00%,0,0.00%,0,0.00%,32,29,90.60%,3,9.40%,3,9.40%,0,0,0.00%,0,0.00,0,0.00%,4,4,100.00%,0,0.00%,0,0.00%
PRITCHETT RE-3,0.00%,100.00%,39,100.00%,7,0,0.00%,7,100.00%,7,100.00%,0,0,0.00%,0,0,0,0.00%,25,0,0.00%,25,1.00,25,100.00%,0,0,0.00%,0,0.00%,0,0.00%,39,0,0.00%,39,100.00%,39,100.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
SPRINGFIELD RE-4,82.40%,17.60%,66,21.10%,44,37,84.10%,7,15.90%,7,15.90%,4,4,100.00%,0,0,0,0.00%,214,175,81.80%,39,0.18,48,22.40%,0,0,0.00%,0,0.00%,0,0.00%,313,258,82.40%,55,17.60%,66,21.10%,0,0,0.00%,0,0.00,0,0.00%,1,1,100.00%,0,0.00%,0,0.00%
VILAS RE-5,64.70%,35.30%,19,37.30%,10,8,80.00%,2,20.00%,2,20.00%,1,0,0.00%,1,1,1,100.00%,37,25,67.60%,12,0.32,12,32.40%,3,0,0.00%,3,100.00%,3,100.00%,10,10,100.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,4,4,100.00%,0,0.00%,0,0.00%
CAMPO RE-6,80.60%,19.40%,8,22.20%,5,5,100.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0,0,0.00%,26,21,80.80%,5,0.19,6,23.10%,0,0,0.00%,0,0.00%,0,0.00%,36,29,80.60%,7,19.40%,8,22.20%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
LAS ANIMAS RE-1,67.60%,32.40%,500,38.10%,127,90,70.90%,37,29.10%,46,36.20%,5,4,80.00%,1,0.2,1,20.00%,"1,096",723,66.00%,373,0.34,443,40.40%,10,8,80.00%,2,20.00%,2,20.00%,580,470,81.00%,110,19.00%,141,24.30%,14,11,78.60%,3,0.21,5,35.70%,26,26,100.00%,0,0.00%,0,0.00%
MC CLAVE RE-2,92.70%,7.30%,18,7.30%,19,19,100.00%,0,0.00%,0,0.00%,29,26,89.70%,3,0.103,3,10.30%,105,90,85.70%,15,0.14,15,14.30%,13,13,100.00%,0,0.00%,0,0.00%,138,128,92.80%,10,7.20%,10,7.20%,0,0,0.00%,0,0.00,0,0.00%,26,26,100.00%,0,0.00%,0,0.00%
ST VRAIN VALLEY RE 1J,87.60%,12.40%,"4,717",14.20%,"3,805","3,299",86.70%,506,13.30%,569,15.00%,"5,029","4,348",86.50%,681,0.135,832,16.50%,"9,915","9,039",91.20%,876,0.09,"1,055",10.60%,59,36,61.00%,23,39.00%,26,44.10%,"2,928","2,517",86.00%,411,14.00%,511,17.50%,603,349,57.90%,254,0.42,347,57.50%,"2,299","2,173",94.50%,126,5.50%,134,5.80%
BOULDER VALLEY RE 2,87.70%,12.30%,"4,241",13.50%,"3,667","3,264",89.00%,403,11.00%,442,12.10%,"3,256","2,800",86.00%,456,0.14,504,15.50%,"6,484","5,532",85.30%,952,0.15,"1,090",16.80%,19,18,94.70%,1,5.30%,2,10.50%,"2,686","2,263",84.30%,423,15.70%,456,17.00%,308,208,67.50%,100,0.33,113,36.70%,"2,349","2,313",98.50%,36,1.50%,36,1.50%
BUENA VISTA R-31,80.80%,19.20%,224,21.40%,129,105,81.40%,24,18.60%,27,20.90%,14,11,78.60%,3,0.214,6,42.90%,374,305,81.60%,69,0.18,79,21.10%,0,0,0.00%,0,0.00%,0,0.00%,98,80,81.60%,18,18.40%,18,18.40%,8,4,50.00%,4,0.50,4,50.00%,24,24,100.00%,0,0.00%,0,0.00%
SALIDA R-32,84.10%,15.90%,242,18.60%,117,95,81.20%,22,18.80%,26,22.20%,27,19,70.40%,8,0.296,11,40.70%,511,406,79.50%,105,0.21,128,25.00%,0,0,0.00%,0,0.00%,0,0.00%,482,408,84.60%,74,15.40%,83,17.20%,43,18,41.90%,25,0.58,36,83.70%,45,43,95.60%,2,4.40%,2,4.40%
KIT CARSON R-1,91.70%,8.30%,11,9.20%,10,8,80.00%,2,20.00%,2,20.00%,2,2,100.00%,0,0,0,0.00%,65,58,89.20%,7,0.11,8,12.30%,6,6,100.00%,0,0.00%,0,0.00%,4,4,100.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,13,13,100.00%,0,0.00%,0,0.00%
CHEYENNE COUNTY RE-5,82.50%,17.50%,35,18.00%,27,23,85.20%,4,14.80%,4,14.80%,10,7,70.00%,3,0.3,3,30.00%,103,85,82.50%,18,0.18,18,17.50%,15,15,100.00%,0,0.00%,0,0.00%,18,18,100.00%,0,0.00%,0,0.00%,2,0,0.00%,2,1.00,2,100.00%,0,0,0.00%,0,0.00%,0,0.00%
CLEAR CREEK RE-1,79.80%,20.20%,209,22.80%,101,78,77.20%,23,22.80%,27,26.70%,3,3,100.00%,0,0,0,0.00%,274,197,71.90%,77,0.28,87,31.80%,0,0,0.00%,0,0.00%,0,0.00%,230,177,77.00%,53,23.00%,60,26.10%,23,8,34.80%,15,0.65,20,87.00%,65,63,96.90%,2,3.10%,2,3.10%
NORTH CONEJOS RE-1J,86.80%,13.20%,158,14.80%,75,64,85.30%,11,14.70%,14,18.70%,0,0,0.00%,0,0,0,0.00%,704,602,85.50%,102,0.15,116,16.50%,5,2,40.00%,3,60.00%,5,100.00%,"1,067",926,86.80%,141,13.20%,158,14.80%,4,1,25.00%,3,0.75,3,75.00%,38,38,100.00%,0,0.00%,0,0.00%
SANFORD 6J,88.70%,11.30%,47,11.60%,21,18,85.70%,3,14.30%,3,14.30%,5,4,80.00%,1,0.2,1,20.00%,246,209,85.00%,37,0.15,38,15.40%,14,14,100.00%,0,0.00%,0,0.00%,234,206,88.00%,28,12.00%,29,12.40%,7,4,57.10%,3,0.43,3,42.90%,0,0,0.00%,0,0.00%,0,0.00%
SOUTH CONEJOS RE-10,82.60%,17.40%,47,19.00%,24,15,62.50%,9,37.50%,11,45.80%,28,24,85.70%,4,0.143,4,14.30%,184,157,85.30%,27,0.15,28,15.20%,5,2,40.00%,3,60.00%,3,60.00%,247,204,82.60%,43,17.40%,47,19.00%,1,1,100.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
CENTENNIAL R-1,89.40%,10.60%,24,11.60%,28,23,82.10%,5,17.90%,5,17.90%,7,7,100.00%,0,0,0,0.00%,174,157,90.20%,17,0.10,18,10.30%,2,0,0.00%,2,100.00%,2,100.00%,207,185,89.40%,22,10.60%,24,11.60%,13,13,100.00%,0,0.00,0,0.00%,2,2,100.00%,0,0.00%,0,0.00%
SIERRA GRANDE R-30,79.10%,20.90%,76,27.00%,20,18,90.00%,2,10.00%,3,15.00%,31,28,90.30%,3,0.097,5,16.10%,237,185,78.10%,52,0.22,67,28.30%,13,4,30.80%,9,69.20%,10,76.90%,131,104,79.40%,27,20.60%,34,26.00%,2,0,0.00%,2,1.00,3,150.00%,0,0,0.00%,0,0.00%,0,0.00%
CROWLEY COUNTY RE-1-J,84.00%,16.00%,98,19.10%,72,58,80.60%,14,19.40%,16,22.20%,2,2,100.00%,0,0,0,0.00%,389,317,81.50%,72,0.19,86,22.10%,0,0,0.00%,0,0.00%,0,0.00%,514,432,84.00%,82,16.00%,98,19.10%,0,0,0.00%,0,0.00,0,0.00%,26,26,100.00%,0,0.00%,0,0.00%
CUSTER COUNTY SCHOOL DISTRICT C-1,74.80%,25.20%,128,30.10%,58,46,79.30%,12,20.70%,14,24.10%,0,0,0.00%,0,0,0,0.00%,213,151,70.90%,62,0.29,74,34.70%,2,2,100.00%,0,0.00%,0,0.00%,183,135,73.80%,48,26.20%,55,30.10%,0,0,0.00%,0,0.00,0,0.00%,23,20,87.00%,3,13.00%,3,13.00%
DELTA COUNTY 50(J),82.70%,17.30%,"1,050",20.00%,756,609,80.60%,147,19.40%,170,22.50%,332,275,82.80%,57,0.172,65,19.60%,"3,112","2,515",80.80%,597,0.19,704,22.60%,56,44,78.60%,12,21.40%,13,23.20%,"2,204","1,833",83.20%,371,16.80%,425,19.30%,111,54,48.60%,57,0.51,87,78.40%,341,327,95.90%,14,4.10%,15,4.40%
DENVER COUNTY 1,82.00%,18.00%,"21,366",21.70%,"11,477","9,501",82.80%,"1,976",17.20%,"2,379",20.70%,"34,511","29,092",84.30%,"5,419",0.157,"6,473",18.80%,"62,637","51,727",82.60%,"10,910",0.17,"13,464",21.50%,263,199,75.70%,64,24.30%,69,26.20%,"65,510","52,676",80.40%,"12,834",19.60%,"15,534",23.70%,"1,934","1,140",58.90%,794,0.41,"1,093",56.50%,"10,849","9,996",92.10%,853,7.90%,975,9.00%
DOLORES COUNTY RE NO.2,77.90%,22.10%,78,25.40%,39,33,84.60%,6,15.40%,6,15.40%,0,0,0.00%,0,0,0,0.00%,151,116,76.80%,35,0.23,40,26.50%,0,0,0.00%,0,0.00%,0,0.00%,293,230,78.50%,63,21.50%,70,23.90%,7,4,57.10%,3,0.43,3,42.90%,12,11,91.70%,1,8.30%,1,8.30%
DOUGLAS COUNTY RE 1,86.80%,13.20%,"10,342",14.50%,"7,526","6,541",86.90%,985,13.10%,"1,075",14.30%,"4,256","3,324",78.10%,932,0.219,"1,076",25.30%,"4,811","3,509",72.90%,"1,302",0.27,"1,506",31.30%,23,12,52.20%,11,47.80%,11,47.80%,"2,443","1,910",78.20%,533,21.80%,582,23.80%,610,332,54.40%,278,0.46,326,53.40%,"4,803","4,647",96.80%,156,3.20%,160,3.30%
EAGLE COUNTY RE 50,87.20%,12.80%,"1,087",15.10%,774,695,89.80%,79,10.20%,94,12.10%,"2,396","2,034",84.90%,362,0.151,462,19.30%,"2,763","2,371",85.80%,392,0.14,468,16.90%,9,2,22.20%,7,77.80%,8,88.90%,962,847,88.00%,115,12.00%,141,14.70%,25,11,44.00%,14,0.56,17,68.00%,683,627,91.80%,56,8.20%,61,8.90%
ELIZABETH C-1,85.00%,15.00%,443,16.30%,315,264,83.80%,51,16.20%,55,17.50%,37,30,81.10%,7,0.189,8,21.60%,483,401,83.00%,82,0.17,95,19.70%,0,0,0.00%,0,0.00%,0,0.00%,89,80,89.90%,9,10.10%,9,10.10%,4,3,75.00%,1,0.25,1,25.00%,92,92,100.00%,0,0.00%,0,0.00%
KIOWA C-2,86.30%,13.70%,55,17.50%,37,32,86.50%,5,13.50%,7,18.90%,7,7,100.00%,0,0,0,0.00%,130,109,83.80%,21,0.16,29,22.30%,0,0,0.00%,0,0.00%,0,0.00%,35,31,88.60%,4,11.40%,4,11.40%,7,6,85.70%,1,0.14,2,28.60%,6,6,100.00%,0,0.00%,0,0.00%
BIG SANDY 100J,84.70%,15.30%,62,19.30%,35,30,85.70%,5,14.30%,6,17.10%,1,1,100.00%,0,0,0,0.00%,129,95,73.60%,34,0.26,47,36.40%,0,0,0.00%,0,0.00%,0,0.00%,146,119,81.50%,27,18.50%,36,24.70%,11,10,90.90%,1,0.09,2,18.20%,25,24,96.00%,1,4.00%,1,4.00%
ELBERT 200,82.40%,17.60%,44,18.40%,29,23,79.30%,6,20.70%,6,20.70%,0,0,0.00%,0,0,0,0.00%,65,51,78.50%,14,0.22,16,24.60%,0,0,0.00%,0,0.00%,0,0.00%,19,15,78.90%,4,21.10%,4,21.10%,1,1,100.00%,0,0.00,0,0.00%,11,11,100.00%,0,0.00%,0,0.00%
AGATE 300,100.00%,0.00%,0,0.00%,1,1,100.00%,0,0.00%,0,0.00%,2,2,100.00%,0,0,0,0.00%,2,2,100.00%,0,0.00,0,0.00%,2,2,100.00%,0,0.00%,0,0.00%,5,5,100.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
CALHAN RJ-1,78.00%,22.00%,124,23.90%,69,56,81.20%,13,18.80%,14,20.30%,4,2,50.00%,2,0.5,2,50.00%,241,182,75.50%,59,0.25,61,25.30%,0,0,0.00%,0,0.00%,0,0.00%,49,42,85.70%,7,14.30%,7,14.30%,0,0,0.00%,0,0.00,0,0.00%,19,19,100.00%,0,0.00%,0,0.00%
HARRISON 2,78.50%,21.50%,"3,568",24.40%,"1,619","1,268",78.30%,351,21.70%,385,23.80%,"2,724","2,311",84.80%,413,0.152,477,17.50%,"9,743","8,027",82.40%,"1,716",0.18,"1,911",19.60%,25,13,52.00%,12,48.00%,12,48.00%,"7,932","6,199",78.20%,"1,733",21.80%,"1,969",24.80%,194,119,61.30%,75,0.39,89,45.90%,519,470,90.60%,49,9.40%,53,10.20%
WIDEFIELD 3,74.80%,25.20%,"3,172",28.40%,"1,335","1,011",75.70%,324,24.30%,363,27.20%,260,179,68.80%,81,0.312,90,34.60%,"5,080","3,799",74.80%,"1,281",0.25,"1,510",29.70%,2,0,0.00%,2,100.00%,2,100.00%,"1,853","1,411",76.10%,442,23.90%,507,27.40%,44,17,38.60%,27,0.61,40,90.90%,112,108,96.40%,4,3.60%,4,3.60%
FOUNTAIN 8,62.50%,37.50%,"4,326",41.50%,"1,741","1,129",64.80%,612,35.20%,689,39.60%,557,349,62.70%,208,0.373,232,41.70%,"3,819","2,257",59.10%,"1,562",0.41,"1,794",47.00%,1,0,0.00%,1,100.00%,2,200.00%,"4,914","2,805",57.10%,"2,109",42.90%,"2,312",47.00%,320,191,59.70%,129,0.40,169,52.80%,502,408,81.30%,94,18.70%,99,19.70%
COLORADO SPRINGS 11,75.30%,24.70%,"10,133",31.00%,"3,201","2,384",74.50%,817,25.50%,"1,036",32.40%,"2,650","1,999",75.40%,651,0.246,792,29.90%,"19,068","14,025",73.60%,"5,043",0.26,"6,408",33.60%,26,13,50.00%,13,50.00%,17,65.40%,"8,778","6,357",72.40%,"2,421",27.60%,"3,033",34.60%,"1,149",495,43.10%,654,0.57,921,80.20%,"2,502","2,262",90.40%,240,9.60%,301,12.00%
CHEYENNE MOUNTAIN 12,83.40%,16.60%,"1,032",18.10%,543,454,83.60%,89,16.40%,95,17.50%,201,147,73.10%,54,0.269,61,30.30%,894,734,82.10%,160,0.18,185,20.70%,0,0,0.00%,0,0.00%,0,0.00%,"1,267","1,107",87.40%,160,12.60%,175,13.80%,12,7,58.30%,5,0.42,6,50.00%,608,592,97.40%,16,2.60%,19,3.10%
MANITOU SPRINGS 14,82.90%,17.10%,335,20.00%,124,104,83.90%,20,16.10%,22,17.70%,13,12,92.30%,1,0.077,1,7.70%,475,365,76.80%,110,0.23,134,28.20%,0,0,0.00%,0,0.00%,0,0.00%,147,119,81.00%,28,19.00%,31,21.10%,55,22,40.00%,33,0.60,42,76.40%,89,86,96.60%,3,3.40%,3,3.40%
ACADEMY 20,84.40%,15.60%,"4,758",17.00%,"2,489","2,081",83.60%,408,16.40%,455,18.30%,667,520,78.00%,147,0.22,157,23.50%,"4,316","3,499",81.10%,817,0.19,944,21.90%,0,0,0.00%,0,0.00%,0,0.00%,875,672,76.80%,203,23.20%,224,25.60%,16,13,81.30%,3,0.19,3,18.80%,"2,388","2,280",95.50%,108,4.50%,111,4.60%
ELLICOTT 22,75.40%,24.60%,336,28.30%,162,125,77.20%,37,22.80%,46,28.40%,148,141,95.30%,7,0.047,11,7.40%,699,573,82.00%,126,0.18,148,21.20%,3,3,100.00%,0,0.00%,0,0.00%,603,444,73.60%,159,26.40%,182,30.20%,2,0,0.00%,2,1.00,3,150.00%,0,0,0.00%,0,0.00%,0,0.00%
PEYTON 23 JT,79.50%,20.50%,171,22.80%,75,63,84.00%,12,16.00%,14,18.70%,15,14,93.30%,1,0.067,2,13.30%,167,142,85.00%,25,0.15,30,18.00%,1,1,100.00%,0,0.00%,0,0.00%,270,215,79.60%,55,20.40%,60,22.20%,0,0,0.00%,0,0.00,0,0.00%,8,8,100.00%,0,0.00%,0,0.00%
HANOVER 28,70.50%,29.50%,115,34.60%,51,36,70.60%,15,29.40%,17,33.30%,43,27,62.80%,16,0.372,20,46.50%,234,164,70.10%,70,0.30,84,35.90%,0,0,0.00%,0,0.00%,0,0.00%,332,234,70.50%,98,29.50%,115,34.60%,46,30,65.20%,16,0.35,21,45.70%,2,2,100.00%,0,0.00%,0,0.00%
LEWIS-PALMER 38,84.30%,15.70%,"1,155",16.70%,641,539,84.10%,102,15.90%,110,17.20%,258,199,77.10%,59,0.229,63,24.40%,716,570,79.60%,146,0.20,167,23.30%,0,0,0.00%,0,0.00%,0,0.00%,241,215,89.20%,26,10.80%,27,11.20%,12,7,58.30%,5,0.42,6,50.00%,801,762,95.10%,39,4.90%,39,4.90%
FALCON 49,78.40%,21.60%,"5,264",23.60%,"2,380","1,901",79.90%,479,20.10%,521,21.90%,"1,195",830,69.50%,365,0.305,399,33.40%,"6,925","5,306",76.60%,"1,619",0.23,"1,752",25.30%,24,10,41.70%,14,58.30%,15,62.50%,"6,726","4,685",69.70%,"2,041",30.30%,"2,195",32.60%,144,87,60.40%,57,0.40,62,43.10%,852,777,91.20%,75,8.80%,79,9.30%
EDISON 54 JT,64.90%,35.10%,98,40.50%,21,19,90.50%,2,9.50%,2,9.50%,6,3,50.00%,3,0.5,3,50.00%,99,78,78.80%,21,0.21,22,22.20%,0,0,0.00%,0,0.00%,0,0.00%,18,17,94.40%,1,5.60%,1,5.60%,0,0,0.00%,0,0.00,0,0.00%,3,3,100.00%,0,0.00%,0,0.00%
MIAMI/YODER 60 JT,79.10%,20.90%,75,22.10%,51,43,84.30%,8,15.70%,8,15.70%,7,7,100.00%,0,0,0,0.00%,144,118,81.90%,26,0.18,26,18.10%,2,2,100.00%,0,0.00%,0,0.00%,230,178,77.40%,52,22.60%,54,23.50%,0,0,0.00%,0,0.00,0,0.00%,4,4,100.00%,0,0.00%,0,0.00%
CANON CITY RE-1,81.70%,18.30%,889,21.30%,582,476,81.80%,106,18.20%,126,21.60%,44,39,88.60%,5,0.114,5,11.40%,"2,006","1,732",86.30%,274,0.14,309,15.40%,0,0,0.00%,0,0.00%,0,0.00%,"2,585","2,092",80.90%,493,19.10%,577,22.30%,22,8,36.40%,14,0.64,19,86.40%,348,332,95.40%,16,4.60%,16,4.60%
FREMONT RE-2,79.80%,20.20%,386,23.60%,255,192,75.30%,63,24.70%,79,31.00%,21,19,90.50%,2,0.095,2,9.50%,954,733,76.80%,221,0.23,263,27.60%,2,2,100.00%,0,0.00%,0,0.00%,"1,177",930,79.00%,247,21.00%,289,24.60%,48,29,60.40%,19,0.40,25,52.10%,19,19,100.00%,0,0.00%,0,0.00%
COTOPAXI RE-3,76.10%,23.90%,56,25.20%,28,23,82.10%,5,17.90%,5,17.90%,0,0,0.00%,0,0,0,0.00%,121,90,74.40%,31,0.26,33,27.30%,0,0,0.00%,0,0.00%,0,0.00%,222,169,76.10%,53,23.90%,56,25.20%,0,0,0.00%,0,0.00,0,0.00%,3,2,66.70%,1,33.30%,1,33.30%
