Organization Name,Total Stability Rate (All Students),Total Student Mobility Rate (All students),Total Instances of Mobility (All students),Total Mobility Incidence Rate (All students),Students with Disabilities Pupil Count,Students with Disabilities Stable Student Count,Students with Disabilities Stability Rate,Students with Disabilities Mobile Student Count,Students with Disabilities Student Mobility Rate,Students with Disabilities Instances of Mobility,Students with Disabilities Mobility Incidence Rate,English Language Learners Pupil Count,English Language Learners Stable Student Count,English Language Learners Stability Rate,English Language Learners Mobile Student Count,English Language Learners Student Mobility Rate,English Language Learners Instances of Mobility,English Language Learners Mobility Incidence Rate,Economically Disadvantaged Pupil Count,Economically Disadvantaged Stable Student Count,Economically Disadvantaged Stability Rate,Economically Disadvantaged Mobile Student Count,Economically Disadvantaged Student Mobility Rate,Economically Disadvantaged Instances of Mobility,Economically Disadvantaged Mobility Incidence Rate,Migrant Pupil Count,Migrant Stable Student Count,Migrant Stability Rate,Migrant Mobile Student Count,Migrant Student Mobility Rate,Migrant Instances of Mobility,Migrant Mobility Incidence Rate,Title 1 Pupil Count,Title 1 Stable Student Count,Title 1 Pupil Stability Rate,Title 1 Mobile Student Count,Title 1 Student Mobility Rate,Title 1 Instances of Mobility,Title 1 Mobility Incidence Rate,Homeless Pupil Count,Homeless Stable Student Count,Homeless Stability Rate,Homeless Mobile Student Count,Homeless Student Mobility Rate,Homeless Instances of Mobility,Homeless Mobility Incidence Rate,Gifted & Talented Pupil Count,Gifted & Talented Stable Student Count,Gifted & Talented Stability Rate,Gifted & Talented Mobile Student Count,Gifted & Talented Student Mobility Rate,Gifted & Talented Instances of Mobility,Gifted & Talented Mobility Incidence Rate
SWINK 33,92.30%,7.70%,33,8.20%,36,32,88.90%,4,11.10%,4,11.10%,0,0,0.00%,0,0,0,0.00%,178,165,92.70%,13,0.07,14,7.90%,1,0,0.00%,1,100.00%,2,200.00%,198,190,96.00%,8,4.00%,10,5.10%,1,1,100.00%,0,0.00,0,0.00%,23,23,100.00%,0,0.00%,0,0.00%
OURAY R-1,80.30%,19.70%,44,22.80%,21,16,76.20%,5,23.80%,7,33.30%,7,6,85.70%,1,0.143,1,14.30%,55,46,83.60%,9,0.16,10,18.20%,0,0,0.00%,0,0.00%,0,0.00%,16,13,81.30%,3,18.80%,4,25.00%,0,0,0.00%,0,0.00,0,0.00%,22,20,90.90%,2,9.10%,2,9.10%
RIDGWAY R-2,80.40%,19.60%,82,22.00%,32,28,87.50%,4,12.50%,4,12.50%,9,8,88.90%,1,0.111,1,11.10%,107,75,70.10%,32,0.30,39,36.40%,2,2,100.00%,0,0.00%,0,0.00%,37,31,83.80%,6,16.20%,8,21.60%,11,6,54.50%,5,0.46,6,54.50%,34,28,82.40%,6,17.60%,6,17.60%
PLATTE CANYON 1,80.90%,19.10%,237,21.00%,162,136,84.00%,26,16.00%,27,16.70%,2,2,100.00%,0,0,0,0.00%,354,276,78.00%,78,0.22,93,26.30%,0,0,0.00%,0,0.00%,0,0.00%,73,51,69.90%,22,30.10%,26,35.60%,15,8,53.30%,7,0.47,8,53.30%,73,67,91.80%,6,8.20%,6,8.20%
PARK COUNTY RE-2,76.20%,23.80%,194,27.10%,83,58,69.90%,25,30.10%,29,34.90%,10,9,90.00%,1,0.1,1,10.00%,339,247,72.90%,92,0.27,105,31.00%,0,0,0.00%,0,0.00%,0,0.00%,92,79,85.90%,13,14.10%,15,16.30%,2,0,0.00%,2,1.00,4,200.00%,30,27,90.00%,3,10.00%,3,10.00%
HOLYOKE RE-1J,85.80%,14.20%,99,15.80%,72,60,83.30%,12,16.70%,12,16.70%,147,125,85.00%,22,0.15,27,18.40%,296,244,82.40%,52,0.18,58,19.60%,29,20,69.00%,9,31.00%,12,41.40%,622,535,86.00%,87,14.00%,96,15.40%,0,0,0.00%,0,0.00,0,0.00%,38,37,97.40%,1,2.60%,1,2.60%
HAXTUN RE-2J,88.20%,11.80%,41,13.10%,45,39,86.70%,6,13.30%,6,13.30%,6,6,100.00%,0,0,0,0.00%,117,96,82.10%,21,0.18,25,21.40%,0,0,0.00%,0,0.00%,0,0.00%,7,7,100.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00,0,0.00%,7,7,100.00%,0,0.00%,0,0.00%
ASPEN 1,86.70%,13.30%,278,15.30%,162,145,89.50%,17,10.50%,18,11.10%,141,118,83.70%,23,0.163,31,22.00%,129,114,88.40%,15,0.12,20,15.50%,0,0,0.00%,0,0.00%,0,0.00%,71,67,94.40%,4,5.60%,4,5.60%,0,0,0.00%,0,0.00,0,0.00%,105,96,91.40%,9,8.60%,11,10.50%
GRANADA RE-1,83.00%,17.00%,47,22.20%,11,10,90.90%,1,9.10%,1,9.10%,34,21,61.80%,13,0.382,18,52.90%,138,106,76.80%,32,0.23,43,31.20%,25,14,56.00%,11,44.00%,15,60.00%,23,17,73.90%,6,26.10%,10,43.50%,0,0,0.00%,0,0.00,0,0.00%,11,11,100.00%,0,0.00%,0,0.00%
LAMAR RE-2,86.30%,13.70%,283,17.20%,182,147,80.80%,35,19.20%,45,24.70%,139,124,89.20%,15,0.108,17,12.20%,"1,113",924,83.00%,189,0.17,241,21.70%,34,27,79.40%,7,20.60%,13,38.20%,814,696,85.50%,118,14.50%,147,18.10%,52,37,71.20%,15,0.29,20,38.50%,91,91,100.00%,0,0.00%,0,0.00%
