2017 SAT and PSAT10 District and School Results  - EMBARGOED UNTIL 10:00 A.M. ON AUGUST 17TH ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Means are calculated using only valid scores in the denominator.,,,,,,,,,,,,,,,,
* Values suppressed to protect student privacy.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Test,District Number,District Name,School Number,School Name,Total Students,Valid Scores,Evidence Based Reading and Writing Mean Score,Math Mean Score,Overall Mean Score,Participation Percent,2016 Valid Scores,2016 Evidence Based Reading and Writing Mean Score,2016 Math Mean Score,2016 Overall Mean Score,2016 Participation Percent,Mean Overall Score Change
PSAT  ,0120,ENGLEWOOD 1,0000,DISTRICT RESULTS,   181,155,442.3,429.0, 871.3, 85.6,170,418.1,420.4,838.5,72.3,32.8
PSAT  ,0120,ENGLEWOOD 1,0206,COLORADO'S FINEST HIGH SCHOOL OF CHOICE,    64,48,430.0,426.9, 856.9, 75.0,47,405.1,407.4,812.6,49.0,44.3
PSAT  ,0120,ENGLEWOOD 1,2746,ENGLEWOOD HIGH SCHOOL,   115,107,447.9,429.9, 877.8, 93.0,122,421.5,424.3,845.7,89.7,32.1
PSAT  ,0123,SHERIDAN 2,0000,DISTRICT RESULTS,   100,93,411.0,418.1, 829.0, 93.0,107,395.8,401.7,797.5,90.7,31.5
PSAT  ,0123,SHERIDAN 2,7842,SHERIDAN HIGH SCHOOL,    89,85,412.8,419.4, 832.2, 95.5,89,401.1,405.6,806.7,92.7,25.5
PSAT  ,0123,SHERIDAN 2,8123,SOAR ACADEMY,*,< 16,*,*,*,*,18,369.4,382.2,751.7,81.8,*
PSAT  ,0130,CHERRY CREEK 5,0000,DISTRICT RESULTS,  4028,3545,507.6,499.6,1007.2, 88.0,3487,499.5,496.0,995.5,88.2,11.7
PSAT  ,0130,CHERRY CREEK 5,1551,CHEROKEE TRAIL HIGH SCHOOL,   733,634,511.5,491.8,1003.3, 86.5,647,500.5,493.6,994.1,88.1,9.2
PSAT  ,0130,CHERRY CREEK 5,1570,CHERRY CREEK HIGH SCHOOL,   886,778,557.8,561.5,1119.3, 87.8,726,554.8,559.7,1114.6,88.2,4.7
PSAT  ,0130,CHERRY CREEK 5,2357,EAGLECREST HIGH SCHOOL,   664,593,484.4,474.4, 958.8, 89.3,618,480.9,471.5,952.4,92.5,6.4
PSAT  ,0130,CHERRY CREEK 5,2653,ENDEAVOR ACADEMY,    30,16,410.6,392.5, 803.1, 53.3,< 16,*,*,*,*,*
PSAT  ,0130,CHERRY CREEK 5,3589,GRANDVIEW HIGH SCHOOL,   691,616,525.8,516.7,1042.5, 89.1,555,514.9,507.2,1022.0,90.4,20.5
PSAT  ,0130,CHERRY CREEK 5,6625,OVERLAND HIGH SCHOOL,   541,489,450.0,445.2, 895.2, 90.4,493,441.3,442.4,883.8,85.1,11.4
PSAT  ,0130,CHERRY CREEK 5,8020,SMOKY HILL HIGH SCHOOL,   480,419,485.8,474.2, 960.0, 87.3,433,481.5,478.1,959.6,84.7,0.4
PSAT  ,0140,LITTLETON 6,0000,DISTRICT RESULTS,  1263,1203,519.3,508.3,1027.6, 95.2,1201,522.1,518.1,1040.2,92.2,-12.6
PSAT  ,0140,LITTLETON 6,0298,ARAPAHOE HIGH SCHOOL,   547,522,528.4,520.3,1048.7, 95.4,501,538.3,541.5,1079.8,92.6,-31.1
PSAT  ,0140,LITTLETON 6,3930,HERITAGE HIGH SCHOOL,   426,414,520.8,510.2,1031.0, 97.2,399,520.6,513.0,1033.6,92.4,-2.6
PSAT  ,0140,LITTLETON 6,5224,LITTLETON HIGH SCHOOL,   290,267,499.3,481.6, 980.9, 92.1,301,497.1,485.9,983.1,91.5,-2.2
PSAT  ,0170,DEER TRAIL 26J,0000,DISTRICT RESULTS,*,< 16,*,*,*,*,< 16,*,*,*,*,*
PSAT  ,0170,DEER TRAIL 26J,2140,DEER TRAIL JUNIOR-SENIOR HIGH SCHOOL,*,< 16,*,*,*,*,< 16,*,*,*,*,*
PSAT  ,0180,ADAMS-ARAPAHOE 28J,0000,DISTRICT RESULTS,  2503,2255,423.0,422.6, 845.6, 90.1,2416,414.4,419.8,834.3,88.7,11.3
PSAT  ,0180,ADAMS-ARAPAHOE 28J,0219,APS ONLINE SCHOOL,    26,19,419.5,411.1, 830.5, 73.1,24,400.8,400.0,800.8,70.6,29.7
PSAT  ,0180,ADAMS-ARAPAHOE 28J,1458,AURORA CENTRAL HIGH SCHOOL,   499,406,382.4,389.5, 771.9, 81.4,473,382.9,391.4,774.3,84.9,-2.4
PSAT  ,0180,ADAMS-ARAPAHOE 28J,3354,GATEWAY HIGH SCHOOL,   365,349,415.1,410.1, 825.2, 95.6,380,398.9,405.7,804.6,87.4,20.6
PSAT  ,0180,ADAMS-ARAPAHOE 28J,4024,HINKLEY HIGH SCHOOL,   472,397,416.5,426.2, 842.7, 84.1,486,406.3,415.5,821.8,91.5,20.9
PSAT  ,0180,ADAMS-ARAPAHOE 28J,5298,LOTUS SCHOOL FOR EXCELLENCE,    63,63,456.8,447.3, 904.1,100.0,67,446.0,436.1,882.1,98.5,22.0
PSAT  ,0180,ADAMS-ARAPAHOE 28J,7250,RANGEVIEW HIGH SCHOOL,   527,485,449.5,441.2, 890.7, 92.0,516,446.0,444.0,890.0,91.8,0.7
PSAT  ,0180,ADAMS-ARAPAHOE 28J,8356,WILLIAM SMITH HIGH SCHOOL,    77,77,424.9,423.4, 848.3,100.0,75,430.4,430.7,861.1,94.9,-12.8
PSAT  ,0180,ADAMS-ARAPAHOE 28J,9125,VISTA PEAK 9-12 PREPARATORY,   342,328,438.9,438.3, 877.2, 95.9,299,432.2,443.4,875.7,92.3,1.5
PSAT  ,0180,ADAMS-ARAPAHOE 28J,9189,VANGUARD CLASSICAL SCHOOL - EAST,    33,32,451.6,428.4, 880.0, 97.0,< 16,*,*,*,*,*
PSAT  ,0180,ADAMS-ARAPAHOE 28J,9396,AURORA WEST COLLEGE PREPARATORY ACADEMY,    95,95,432.6,431.6, 864.2,100.0,92,418.2,424.2,842.4,93.9,21.8
PSAT  ,0190,BYERS 32J,0000,DISTRICT RESULTS,   218,96,451.4,428.1, 879.5, 44.0,80,442.5,431.8,874.3,41.9,5.2
PSAT  ,0190,BYERS 32J,1176,BYERS JUNIOR-SENIOR HIGH SCHOOL,    37,36,452.8,430.3, 883.1, 97.3,29,450.7,450.7,901.4,93.5,-18.3
PSAT  ,0190,BYERS 32J,1752,COLORADO VIRTUAL ACADEMY (COVA),   107,22,508.2,460.5, 968.6, 20.6,20,495.5,470.0,965.5,19.4,3.1
PSAT  ,0190,BYERS 32J,2356,ELEVATE ACADEMY,    48,33,411.2,404.8, 816.1, 68.8,30,400.7,387.3,788.0,56.6,28.1
PSAT  ,0190,BYERS 32J,3362,VALIANT ACADEMY,*,< 16,*,*,*,*,< 16,*,*,*,*,*
PSAT  ,0220,ARCHULETA COUNTY 50 JT,0000,DISTRICT RESULTS,   103,103,476.3,450.9, 927.2,100.0,92,472.4,453.5,925.9,93.9,1.3
PSAT  ,0220,ARCHULETA COUNTY 50 JT,6658,PAGOSA SPRINGS HIGH SCHOOL,   103,103,476.3,450.9, 927.2,100.0,92,472.4,453.5,925.9,93.9,1.3
PSAT  ,0230,WALSH RE-1,0000,DISTRICT RESULTS,*,< 16,*,*,*,*,< 16,*,*,*,*,*
PSAT  ,0230,WALSH RE-1,9226,WALSH HIGH SCHOOL,*,< 16,*,*,*,*,< 16,*,*,*,*,*
PSAT  ,0240,PRITCHETT RE-3,0000,DISTRICT RESULTS,*,< 16,*,*,*,*,< 16,*,*,*,*,*
PSAT  ,0240,PRITCHETT RE-3,7180,PRITCHETT HIGH SCHOOL,*,< 16,*,*,*,*,< 16,*,*,*,*,*
PSAT  ,0250,SPRINGFIELD RE-4,0000,DISTRICT RESULTS,    18,17,505.9,462.4, 968.2, 94.4,22,452.7,442.3,895.0,95.7,73.2
PSAT  ,0250,SPRINGFIELD RE-4,8168,SPRINGFIELD JUNIOR/SENIOR HIGH SCHOOL,    18,17,505.9,462.4, 968.2, 94.4,22,452.7,442.3,895.0,95.7,73.2
PSAT  ,0260,VILAS RE-5,0000,DISTRICT RESULTS,*,< 16,*,*,*,*,< 16,*,*,*,*,*
PSAT  ,0260,VILAS RE-5,9100,VILAS UNDIVIDED HIGH SCHOOL,*,< 16,*,*,*,*,< 16,*,*,*,*,*
PSAT  ,0270,CAMPO RE-6,0000,DISTRICT RESULTS,*,< 16,*,*,*,*,< 16,*,*,*,*,*
PSAT  ,0270,CAMPO RE-6,1252,CAMPO UNDIVIDED HIGH SCHOOL,*,< 16,*,*,*,*,< 16,*,*,*,*,*
PSAT  ,0290,LAS ANIMAS RE-1,0000,DISTRICT RESULTS,   148,97,442.3,426.6, 868.9, 65.5,26,410.8,391.5,802.3,83.9,66.6
PSAT  ,0290,LAS ANIMAS RE-1,0443,AIM GLOBAL,    86,46,422.8,413.0, 835.9, 53.5,NA,NA,NA,NA,NA,NA
PSAT  ,0290,LAS ANIMAS RE-1,4279,IMMERSION SCHOOLS SCIENCE TECHNOLOGY ARTS,    24,19,523.2,496.3,1019.5, 79.2,NA,NA,NA,NA,NA,NA
PSAT  ,0290,LAS ANIMAS RE-1,4990,LAS ANIMAS HIGH SCHOOL,    38,32,422.2,404.7, 826.9, 84.2,26,410.8,391.5,802.3,83.9,24.6
PSAT  ,0310,MC CLAVE RE-2,0000,DISTRICT RESULTS,    18,18,457.2,471.7, 928.9,100.0,< 16,*,*,*,*,*
PSAT  ,0310,MC CLAVE RE-2,5670,MC CLAVE UNDIVIDED HIGH SCHOOL,    18,18,457.2,471.7, 928.9,100.0,< 16,*,*,*,*,*
PSAT  ,0470,ST VRAIN VALLEY RE 1J,0000,DISTRICT RESULTS,  2224,2157,491.3,473.3, 964.5, 97.0,2131,483.4,467.9,951.4,94.2,13.1
PSAT  ,0470,ST VRAIN VALLEY RE 1J,0120,APEX HOME SCHOOL ENRICHMENT PROGRAM,    19,19,600.0,517.9,1117.9,100.0,NA,NA,NA,NA,NA,NA
PSAT  ,0470,ST VRAIN VALLEY RE 1J,2761,ERIE HIGH SCHOOL,   293,288,510.9,490.6,1001.6, 98.3,232,490.8,471.6,962.4,95.9,39.2
PSAT  ,0470,ST VRAIN VALLEY RE 1J,3196,FREDERICK SENIOR HIGH SCHOOL,   217,213,457.2,439.2, 896.4, 98.2,244,459.5,439.6,899.2,95.7,-2.8
PSAT  ,0470,ST VRAIN VALLEY RE 1J,5282,LONGMONT HIGH SCHOOL,   331,317,474.4,455.2, 929.6, 95.8,293,459.6,453.0,912.7,97.3,16.9
PSAT  ,0470,ST VRAIN VALLEY RE 1J,5368,LYONS MIDDLE/SENIOR HIGH SCHOOL,    51,46,528.7,502.0,1030.7, 90.2,74,536.2,499.5,1035.7,89.2,-5.0
PSAT  ,0470,ST VRAIN VALLEY RE 1J,5722,MEAD HIGH SCHOOL,   262,256,492.1,471.3, 963.4, 97.7,270,479.1,462.2,941.3,94.7,22.1
PSAT  ,0470,ST VRAIN VALLEY RE 1J,6276,NIWOT HIGH SCHOOL,   290,280,528.5,505.6,1034.1, 96.6,302,522.1,507.2,1029.3,95.9,4.8
PSAT  ,0470,ST VRAIN VALLEY RE 1J,6498,OLDE COLUMBINE HIGH SCHOOL,    31,30,394.7,404.0, 798.7, 96.8,17,365.3,371.2,736.5,89.5,62.2
PSAT  ,0470,ST VRAIN VALLEY RE 1J,7789,SILVER CREEK HIGH SCHOOL,   336,320,516.8,498.4,1015.2, 95.2,302,520.1,494.3,1014.5,95.6,0.7
PSAT  ,0470,ST VRAIN VALLEY RE 1J,7839,ST. VRAIN GLOBAL ONLINE ACADEMY,*,< 16,*,*,*,*,25,456.0,431.2,887.2,78.1,*
PSAT  ,0470,ST VRAIN VALLEY RE 1J,7954,SKYLINE HIGH SCHOOL,   335,329,454.3,447.4, 901.7, 98.2,336,449.5,446.4,895.8,89.1,5.9
PSAT  ,0470,ST VRAIN VALLEY RE 1J,8927,TWIN PEAKS CHARTER ACADEMY,    45,45,476.0,469.6, 945.6,100.0,36,474.2,456.9,931.1,97.3,14.5
PSAT  ,0480,BOULDER VALLEY RE 2,0000,DISTRICT RESULTS,  2513,2194,539.9,526.1,1066.0, 87.3,1944,534.0,519.9,1053.9,78.0,12.1
PSAT  ,0480,BOULDER VALLEY RE 2,0125,ARAPAHOE RIDGE HIGH SCHOOL,*,< 16,*,*,*,*,< 16,*,*,*,*,*
PSAT  ,0480,BOULDER VALLEY RE 2,0924,BOULDER HIGH SCHOOL,   497,417,543.5,524.7,1068.2, 83.9,405,551.0,529.0,1080.0,80.0,-11.8
PSAT  ,0480,BOULDER VALLEY RE 2,0930,BOULDER UNIVERSAL,*,< 16,*,*,*,*,< 16,*,*,*,*,*
PSAT  ,0480,BOULDER VALLEY RE 2,0934,BOULDER PREP CHARTER HIGH SCHOOL,*,< 16,*,*,*,*,< 16,*,*,*,*,*
PSAT  ,0480,BOULDER VALLEY RE 2,1070,BROOMFIELD HIGH SCHOOL,   395,365,501.8,492.1, 993.8, 92.4,392,498.4,492.9,991.4,94.7,2.4
PSAT  ,0480,BOULDER VALLEY RE 2,1380,CENTAURUS HIGH SCHOOL,   263,223,528.8,515.1,1043.9, 84.8,230,501.8,484.1,985.8,82.1,58.1
PSAT  ,0480,BOULDER VALLEY RE 2,2892,FAIRVIEW HIGH SCHOOL,   562,485,571.1,565.1,1136.1, 86.3,301,569.9,564.1,1134.0,54.1,2.1
PSAT  ,0480,BOULDER VALLEY RE 2,3499,HALCYON SCHOOL (SPECIAL EDUCATION),*,< 16,*,*,*,*,< 16,*,*,*,*,*
PSAT  ,0480,BOULDER VALLEY RE 2,4496,JUSTICE HIGH CHARTER SCHOOL,*,< 16,*,*,*,*,< 16,*,*,*,*,*
PSAT  ,0480,BOULDER VALLEY RE 2,5999,MONARCH HIGH SCHOOL,   450,428,532.5,519.7,1052.2, 95.1,386,541.7,531.5,1073.3,93.2,-21.1
PSAT  ,0480,BOULDER VALLEY RE 2,6195,NEW VISTA HIGH SCHOOL,    71,61,512.3,467.5, 979.8, 85.9,40,502.0,454.5,956.5,66.7,23.3
PSAT  ,0480,BOULDER VALLEY RE 2,6212,NEDERLAND MIDDLE-SENIOR HIGH SCHOOL,    41,33,498.2,490.9, 989.1, 80.5,24,486.3,469.2,955.4,80.0,33.7
PSAT  ,0480,BOULDER VALLEY RE 2,6816,PEAK TO PEAK CHARTER SCHOOL,   157,157,590.4,565.0,1155.4,100.0,144,566.3,537.8,1104.1,99.3,51.3
PSAT  ,0490,BUENA VISTA R-31,0000,DISTRICT RESULTS,    78,75,478.4,460.0, 938.4, 96.2,68,485.6,462.6,948.2,94.4,-9.8
PSAT  ,0490,BUENA VISTA R-31,1130,BUENA VISTA HIGH SCHOOL,    69,67,488.1,464.8, 952.8, 97.1,64,491.6,466.4,958.0,98.5,-5.2
PSAT  ,0490,BUENA VISTA R-31,1508,CHAFFEE COUNTY HIGH SCHOOL,*,< 16,*,*,*,*,< 16,*,*,*,*,*
PSAT  ,0500,SALIDA R-32,0000,DISTRICT RESULTS,   110,107,516.4,485.0,1001.3, 97.3,84,498.0,488.1,986.1,97.7,15.2
PSAT  ,0500,SALIDA R-32,4085,HORIZONS EXPLORATORY ACADEMY,*,< 16,*,*,*,*,< 16,*,*,*,*,*
PSAT  ,0500,SALIDA R-32,7568,SALIDA HIGH SCHOOL,   102,99,520.2,488.9,1009.1, 97.1,77,500.8,491.9,992.7,97.5,16.4
PSAT  ,0510,KIT CARSON R-1,0000,DISTRICT RESULTS,*,< 16,*,*,*,*,< 16,*,*,*,*,*
PSAT  ,0510,KIT CARSON R-1,4742,KIT CARSON JUNIOR-SENIOR HIGH SCHOOL,*,< 16,*,*,*,*,< 16,*,*,*,*,*
